Inn,Ogrn,КПП,Полное наименование,Короткое наименование,Почтовый индекс,Регион,Округ
7729107058,1027739757957,772901001,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная Академия Генерального Штаба Вооруженных Сил Российской Федерации»,ФГКВОУВО «ВАГШ ВС РФ»,119571,г Москва,Центральный
3208000245,1023201936240,320801001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский Государственный Аграрный Университет»,ФГБОУ ВО Брянский ГАУ,243365,Брянская обл,Центральный
6125012570,1026101409630,612501001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Донской Государственный Аграрный Университет»,ФГБОУ ВО Донской ГАУ,346493,Ростовская обл,Южный
7104042311,1037100331652,710401001,Частное образовательное учреждение высшего образования тульский институт управления и бизнеса имени никиты демидовича демидова,ЧОУ ВО ТИУБ им. Н. Д. Демидова,300028,Тульская обл,Центральный
7716166610,1037716015600,771601001,Федеральное государственное казенное образовательное учреждение высшего образования «Московский Пограничный Институт Федеральной Службы Безопасности Российской Федерации»,ФГКОУ МПИ ФСБ России,129345,г Москва,Центральный
7718109215,1027700089405,771801001,Федеральное государственное бюджетное образовательное учреждение инклюзивного высшего образования «Российский Государственный Университет Социальных Технологий»,ФГБОУ ИВО «МГГЭУ»,107150,г Москва,Центральный
7801046232,1027800567299,780101001,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная Академия Материально-технического Обеспечения Имени Генерала Армии А.В.Хрулева» министерства обороны российской федерации,Военная Академия Материально-Технического Обеспечения или ВА МТО,199034,г Санкт-Петербург,Северо-Западный
5408170583,1025400002891,540801001,Религиозная духовная образовательная организация высшего образования евангельских христиан-баптистов «Новосибирская Библейская Богословская Семинария»,,630117,Новосибирская обл,Сибирский
7446011965,1027402233187,745601001,Государственное бюджетное образовательное учреждение высшего образования челябинской области «Магнитогорская Государственная Консерватория (академия) Имени М.И. Глинки»,ГБОУ ВО ЧО «Магк (Академия) имени М.И. Глинки»,455036,Челябинская обл,Уральский
5022022617,1035000037269,502201001,Религиозная организация - духовная образовательная организация высшего образования московской митрополии русской православной церкви «Коломенская Духовная Семинария»,,140406,Московская обл,Центральный
5217003729,1035201235552,521701001,Государственное бюджетное образовательное учреждение высшего образования «Нижегородский Государственный Инженерно-экономический Университет»,ГБОУ ВО НГИЭУ,606340,Нижегородская обл,Приволжский
6905004997,1026900592058,695001001,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная Академия Воздушно-космической Обороны Имени Маршала Советского Союза Г.К. Жукова» министерства обороны российской федерации,Военная академия ВКО имени маршала Советского союза Г.К.Жукова,170100,Тверская обл,Центральный
2320051199,1022302918406,232001001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Сочинский Государственный Университет»,ФГБОУ ВО «СГУ»,354003,Краснодарский край,Южный
6831015328,1026801156183,682901001,Тамбовское областное государственное бюджетное образовательное учреждение высшего образования «Тамбовский Государственный Музыкально-педагогический Институт Им. С.В.Рахманинова»,ТГМПИ им. С.В.Рахманинова,392000,Тамбовская обл,Центральный
1430006870,1021400920090,143001001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Чурапчинский Государственный Институт Физической Культуры И Спорта».,ФГБОУ ВО ЧГИФКИС,678671,Респ Саха /Якутия/,Дальневосточный
6729006918,1026701445451,672901001,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная Академия Войсковой Противовоздушной Обороны Вооруженных Сил Российской Федерации Имени Маршала Советского Союза А.М.Василевского» министерства обороны российской федерации,ВА Впво,214027,Смоленская обл,Центральный
7447003558,1027402323080,744801001,Частное образовательное учреждение высшего образования «Международный Институт Дизайна И Сервиса»,»Международный Институт Дизайна и Сервиса»,454014,Челябинская обл,Уральский
7706101758,1027739267819,772701001,Частное образовательное учреждение высшего образования (высшее учебное заведение) «Европейский Институт Юсто (справедливость)»,ЧОУ ВО «Европейский Институт Юсто (Справедливость)»,117312,г Москва,Центральный
6454006276,1026403348069,645401001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовская Государственная Юридическая Академия»,ФГБОУ ВО «СГЮА»,410056,Саратовская обл,Приволжский
3731000308,1033700074430,370201001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский Государственный Энергетический Университет Имени В.И. Ленина»,ФГБОУ ВО «ИГЭУ»,153003,Ивановская обл,Центральный
6230000655,1026201104478,623001001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Рязанский Государственный Радиотехнический Университет Имени В.Ф. Уткина»,ФГБОУ ВО «Рязанский Государственный Радиотехнический Университет им. В.Ф. Уткина»,390005,Рязанская обл,Центральный
5902291011,1025900536760,590201001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Пермская Государственная Фармацевтическая Академия» министерства здравоохранения российской федерации,ФГБОУ ВО ПГФА Минздрава России,614000,Пермский край,Приволжский
6228013199,1036212013408,623401001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Рязанский Государственный Медицинский Университет Имени Академика И.П. Павлова» министерства здравоохранения российской федерации,ФГБОУ ВО Рязгму Минздрава России,390026,Рязанская обл,Центральный
0507021079,1030500714144,050701001,Частное образовательное учреждение высшего образования «Дагестанский Теологический Институт Имени Саида Афанди»,ЧОУ ВО «Дагестанский Теологический Институт им. Саида Афанди»,368219,Респ Дагестан,Северо-Кавказский
7807038333,1037819005047,780701001,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная Ордена Жукова Академия Войск Национальной Гвардии Российской Федерации»,Спви Войск Национальной Гвардии,198206,г Санкт-Петербург,Северо-Западный
7729272615,1037700137441,772901001,Федеральное государственное казенное образовательное учреждение высшего образования «Академия Федеральной Службы Безопасности Российской Федерации»,Академия ФСБ России,119602,г Москва,Центральный
0562059549,1050500000286,057201001,Духовная образовательная религиозная организация высшего образования «Дагестанский Исламский Университет Имени Шейха Мухаммад-арифа»,,367000,Респ Дагестан,Северо-Кавказский
